name,plugin
disk_free_percent_run_user_28543,ganglia_pub
disk_free_percent_run_user_28552,ganglia_pub
disk_free_percent_run_user_28565,ganglia_pub
disk_free_percent_run_user_28568,ganglia_pub
disk_free_percent_run_user_28966,ganglia_pub
disk_free_percent_run_user_29259,ganglia_pub
disk_free_percent_run_user_29437,ganglia_pub
disk_free_percent_run_user_30469,ganglia_pub
disk_free_percent_run_user_30656,ganglia_pub
disk_free_percent_run_user_31644,ganglia_pub
disk_free_percent_run_user_31688,ganglia_pub
disk_free_percent_run_user_31949,ganglia_pub
disk_free_percent_run_user_32073,ganglia_pub
disk_free_percent_run_user_32112,ganglia_pub
disk_free_percent_run_user_32154,ganglia_pub
disk_free_percent_run_user_32171,ganglia_pub
disk_free_percent_run_user_32510,ganglia_pub
disk_free_percent_run_user_32579,ganglia_pub
disk_free_percent_run_user_33274,ganglia_pub
disk_free_percent_run_user_37259,ganglia_pub
disk_free_percent_run_user_51133,ganglia_pub
disk_free_percent_scratch_local,ganglia_pub
disk_free_percent_secinv,ganglia_pub
disk_free_percent_sys_fs_cgroup,ganglia_pub
disk_free_percent_tmp,ganglia_pub
disk_free_percent_usr,ganglia_pub
disk_free_percent_var,ganglia_pub
disk_free_percent_vms,ganglia_pub
disk_total,ganglia_pub
diskstat_sda_io_time,ganglia_pub
diskstat_sda_percent_io_time,ganglia_pub
diskstat_sda_read_bytes_per_sec,ganglia_pub
diskstat_sda_read_time,ganglia_pub
diskstat_sda_reads,ganglia_pub
diskstat_sda_reads_merged,ganglia_pub
diskstat_sda_weighted_io_time,ganglia_pub
diskstat_sda_write_bytes_per_sec,ganglia_pub
diskstat_sda_write_time,ganglia_pub
diskstat_sda_writes,ganglia_pub
diskstat_sda_writes_merged,ganglia_pub
diskstat_sdb_io_time,ganglia_pub
diskstat_sdb_percent_io_time,ganglia_pub
diskstat_sdb_read_bytes_per_sec,ganglia_pub
diskstat_sdb_read_time,ganglia_pub
diskstat_sdb_reads,ganglia_pub
diskstat_sdb_reads_merged,ganglia_pub
diskstat_sdb_weighted_io_time,ganglia_pub
diskstat_sdb_write_bytes_per_sec,ganglia_pub
diskstat_sdb_write_time,ganglia_pub
diskstat_sdb_writes,ganglia_pub
diskstat_sdb_writes_merged,ganglia_pub
entropy_avail,ganglia_pub
gexec,ganglia_pub
ipmi_ambient_temp,ganglia_pub
ipmi_avg_power,ganglia_pub
ipmi_cpu1_vr_temp,ganglia_pub
ipmi_cpu2_vr_temp,ganglia_pub
ipmi_cpu_1_temp,ganglia_pub
ipmi_cpu_2_temp,ganglia_pub
ipmi_dimm_ab_vr_temp,ganglia_pub
ipmi_dimm_cd_vr_temp,ganglia_pub
ipmi_dimm_ef_vr_temp,ganglia_pub
ipmi_dimm_gh_vr_temp,ganglia_pub
ipmi_pch_temp,ganglia_pub
ipmi_pci_1_amb_temp,ganglia_pub
ipmi_pci_2_amb_temp,ganglia_pub
ipmi_pci_3_amb_temp,ganglia_pub
ipmi_psu_1_amb_temp,ganglia_pub
ipmi_psu_2_amb_temp,ganglia_pub
ipmi_raid_amb_temp,ganglia_pub
ipmi_rr_pci1_amb_temp,ganglia_pub
ipmi_rr_pci2_amb_temp,ganglia_pub
ipmi_rr_pci3_amb_temp,ganglia_pub
load_fifteen,ganglia_pub
load_five,ganglia_pub
load_one,ganglia_pub
machine_type,ganglia_pub
mem_anonpages,ganglia_pub
mem_buffers,ganglia_pub
mem_cached,ganglia_pub
mem_dirty,ganglia_pub
mem_free,ganglia_pub
mem_hardware_corrupted,ganglia_pub
mem_mapped,ganglia_pub
mem_shared,ganglia_pub
mem_total,ganglia_pub
mem_writeback,ganglia_pub
multicpu_idle0,ganglia_pub
multicpu_idle1,ganglia_pub
multicpu_idle10,ganglia_pub
multicpu_idle11,ganglia_pub
multicpu_idle12,ganglia_pub
multicpu_idle13,ganglia_pub
multicpu_idle14,ganglia_pub
multicpu_idle15,ganglia_pub
multicpu_idle16,ganglia_pub
multicpu_idle17,ganglia_pub
